name,n,query time
Nikolai Grinko,8,377ms
John Cazale,7,
Paul Frankeur,7,
Allan Garcia,6,
Gunnel Lindblom,6,
Kuniko Miyake,6,
Tsutomu Yamazaki,6,
Anatoli Solonitsin,5,
Megan Gallagher,5,
Timothy T. Mitchum,5,
