"road_surface","road_condition_1","road_condition_2","lighting","count","execution time"
"wet",NULL,NULL,NULL,12
"slippery","other",NULL,"dark with street lights",12
"dry","loose material","construction","dark with no street lights",11
NULL,"construction",NULL,"daylight",11
"H","construction",NULL,"daylight",11
"slippery","normal",NULL,"dusk or dawn",11
"dry","obstruction","other","daylight",11
"dry","holes","construction","dark with no street lights",11
"wet","other","normal","daylight",10
"dry","flooded",NULL,"daylight",10
"wet","loose material",NULL,"dusk or dawn",10
"dry","loose material","obstruction","dark with street lights",9
"slippery","other",NULL,"dark with no street lights",9
"dry","loose material","normal","dark with no street lights",9
"slippery","loose material",NULL,"dark with no street lights",9
"dry","obstruction",NULL,"dark with street lights not functioning",9
NULL,"holes","normal","dark with street lights",9
"dry","flooded","normal","daylight",9
"wet","construction","reduced width","dusk or dawn",9
"dry","obstruction","reduced width","dark with street lights",8
"dry","loose material","obstruction","daylight",8
"wet","construction","normal","dark with street lights",8
"dry","reduced width","other","daylight",8
"dry","other",NULL,"dark with street lights not functioning",8
"snowy","loose material","reduced width","daylight",8
"wet","reduced width",NULL,"dark with street lights",8
"dry","holes","loose material","dark with no street lights",8
"dry","holes","construction","dark with street lights",8
"H","holes",NULL,"daylight",8
"dry","holes","normal","dusk or dawn",7
"dry","holes","normal","dark with no street lights",7
"snowy","obstruction",NULL,"daylight",7
"snowy","holes",NULL,"dark with street lights",7
"dry","reduced width","normal","dark with street lights",7
"dry","flooded",NULL,"dark with street lights",7
"dry","holes","other","daylight",7
"dry","loose material","other","daylight",7
"wet","holes","normal","daylight",7
"dry","loose material","normal","dark with street lights",7
"snowy","loose material",NULL,"dark with no street lights",7
"wet","flooded","normal","daylight",7
"slippery","flooded",NULL,"daylight",6
"slippery","obstruction",NULL,"daylight",6
"dry","other","normal","dark with street lights",6
"dry","other","normal","dark with no street lights",6
"dry","holes","normal",NULL,6
"dry","obstruction","construction","dusk or dawn",6
"slippery","holes",NULL,"daylight",6
"wet","construction","normal","dark with no street lights",6
"wet","holes","flooded","daylight",5
"dry","holes","reduced width","daylight",5
"dry","construction","other","dark with no street lights",5
"snowy","loose material",NULL,"dark with street lights",5
"dry","obstruction","reduced width","dark with no street lights",5
NULL,"loose material",NULL,"daylight",5
"dry","flooded","normal","dark with street lights",5
"snowy","obstruction",NULL,"dark with no street lights",5
"dry","obstruction","other","dark with no street lights",5
"snowy","reduced width","other","daylight",5
"snowy","reduced width",NULL,"dark with street lights",5
"wet","construction",NULL,"dark with street lights not functioning",5
"dry","loose material","obstruction","dark with no street lights",5
"wet","holes","construction","dark with no street lights",5
"slippery",NULL,NULL,"daylight",5
NULL,"reduced width",NULL,"daylight",4
"wet","construction","flooded","dark with street lights",4
NULL,"holes","normal",NULL,4
"dry",NULL,NULL,"dark with street lights not functioning",4
"snowy","holes",NULL,"dark with no street lights",4
"snowy","reduced width",NULL,"dusk or dawn",4
"dry","flooded",NULL,"dark with no street lights",4
"wet","reduced width",NULL,"dusk or dawn",4
"wet","obstruction","reduced width","daylight",4
"wet","holes","normal","dark with street lights",4
"snowy","flooded",NULL,"daylight",4
"dry","construction",NULL,NULL,4
"wet","flooded","normal","dark with street lights",4
"slippery","construction",NULL,"daylight",4
"wet","flooded","normal","dark with no street lights",4
"dry","holes","loose material","dark with street lights",4
"wet","obstruction","construction","dark with street lights",4
"dry","holes",NULL,NULL,4
"wet","obstruction","construction","daylight",4
"dry","loose material","reduced width","daylight",4
"wet","construction","normal","dusk or dawn",4
"wet","obstruction","other","dark with street lights",4
NULL,NULL,NULL,"dark with no street lights",3
NULL,"holes",NULL,"dark with street lights",3
NULL,"holes",NULL,NULL,3
"H","normal",NULL,"dark with street lights",3
"snowy","loose material","reduced width","dark with no street lights",3
"slippery","construction",NULL,"dark with street lights",3
"wet","other",NULL,"dark with street lights not functioning",3
"wet","obstruction",NULL,"dark with street lights not functioning",3
"dry","reduced width",NULL,NULL,3
"dry","obstruction","other","dark with street lights",3
"snowy","reduced width","other","dark with no street lights",3
"dry","obstruction","normal","dusk or dawn",3
"wet","loose material","flooded","dark with no street lights",3
"snowy",NULL,NULL,"dark with street lights",3
"snowy",NULL,NULL,"daylight",3
"wet","obstruction","other","dark with no street lights",3
"wet","obstruction","normal","dark with no street lights",3
"dry","loose material","other","dark with no street lights",3
"dry","loose material","normal","dusk or dawn",3
"wet","holes","flooded","dark with street lights",3
"wet","holes","loose material","dark with no street lights",3
"wet","holes","loose material","dark with street lights",3
"dry","loose material","construction","dark with street lights",3
NULL,"construction",NULL,"dark with street lights",3
NULL,"construction",NULL,NULL,3
"slippery","loose material",NULL,"dark with street lights",3
"snowy","normal",NULL,"dark with street lights not functioning",3
"dry","construction","reduced width","dark with street lights not functioning",2
"slippery",NULL,NULL,"dark with street lights",2
"dry","reduced width","other","dark with street lights",2
"dry","reduced width","normal","dark with no street lights",2
"wet","obstruction","normal","dark with street lights",2
"wet","construction","other","daylight",2
"snowy","obstruction",NULL,"dusk or dawn",2
"dry","loose material","other","dusk or dawn",2
"wet","construction","reduced width","dark with street lights not functioning",2
NULL,"construction",NULL,"dark with no street lights",2
"snowy","loose material","normal","dark with no street lights",2
"dry","loose material","other","dark with street lights",2
"wet","reduced width","flooded","dark with no street lights",2
"wet","loose material","flooded","dark with street lights",2
NULL,"other","normal","daylight",2
"H","holes",NULL,"dusk or dawn",2
"wet","construction",NULL,NULL,2
NULL,"obstruction",NULL,"dark with street lights",2
"slippery","loose material",NULL,"dusk or dawn",2
"dry","loose material","construction","dusk or dawn",2
"wet","flooded","other","dark with street lights",2
"slippery","holes",NULL,"dark with street lights",2
"snowy","flooded",NULL,"dark with street lights",2
"wet","flooded",NULL,"dark with street lights not functioning",2
"wet","loose material","other","dark with no street lights",2
NULL,"construction","reduced width","daylight",2
"snowy","construction",NULL,"dark with street lights",2
"snowy","flooded",NULL,"dark with no street lights",2
"dry","holes",NULL,"dark with street lights not functioning",2
"wet","loose material","other","daylight",2
NULL,"construction",NULL,"dusk or dawn",2
"wet","loose material","obstruction","dark with no street lights",2
"slippery","holes",NULL,"dusk or dawn",2
"wet","reduced width","normal","dark with no street lights",2
"wet","reduced width","normal","daylight",2
"wet","holes","loose material","daylight",2
"wet","holes",NULL,NULL,2
"snowy","other",NULL,NULL,2
"dry","holes","obstruction","daylight",2
"wet","holes","normal","dark with no street lights",2
