title,,Execution Time
The Wicker Man,,146 ms
Xanadu,,
The Forgotten,,
Lawrence of Arabia,,
From Dusk Till Dawn,,
Bridget Jones's Diary,,
Ocean's Eleven,,
Return of the Killer Tomatoes!,,
Kakushi-toride no san-akunin,,
Twilight,,
C.H.U.D.,,
Starship Troopers,,
Hercules in New York,,
Alien³,,
Howard the Duck,,
